"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","GNQ.PPPEX.A","OBS_VALUE","Equatorial Guinea, Republic of","239.224","222.078","245.97","244.417","242.328","242.574","228.968","255.915","227.478","226.402"
"IMF.RES:WEO(6.0.0)","DEU.PPPEX.A","OBS_VALUE","Germany","0.745","0.747","0.745","0.735","0.718","0.707","0.702","0.695","0.712","0.718"
"IMF.RES:WEO(6.0.0)","IRQ.PPPEX.A","OBS_VALUE","Iraq","599.388","490.493","552.902","554.961","547.339","484.265","554.465","656.759","519.219","523.931"
"IMF.RES:WEO(6.0.0)","GTM.PPPEX.A","OBS_VALUE","Guatemala","3.269","3.326","3.324","3.291","3.229","3.158","3.213","3.189","3.282","3.321"
"IMF.RES:WEO(6.0.0)","IDN.PPPEX.A","OBS_VALUE","Indonesia","4574.616","4642.077","4756.169","4833.599","4847.445","4791.007","4808.429","4917.825","4819.774","4824.26"
"IMF.RES:WEO(6.0.0)","ETH.PPPEX.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","7.221","8.001","8.336","9.32","10.368","11.791","13.731","17.092","21.806","26.813"
"IMF.RES:WEO(6.0.0)","EST.PPPEX.A","OBS_VALUE","Estonia, Republic of","0.517","0.525","0.535","0.539","0.529","0.515","0.524","0.567","0.591","0.603"
"IMF.RES:WEO(6.0.0)","GMB.PPPEX.A","OBS_VALUE","Gambia, The","13.47","14.386","14.688","14.72","15.26","14.659","14.742","15.241","16.835","18.304"
"IMF.RES:WEO(6.0.0)","FIN.PPPEX.A","OBS_VALUE","Finland","0.88","0.872","0.864","0.854","0.826","0.802","0.783","0.771","0.773","0.777"
"IMF.RES:WEO(6.0.0)","IND.PPPEX.A","OBS_VALUE","India","19.583","20.027","20.456","20.475","20.24","20.319","20.728","20.654","20.203","20.291"
"IMF.RES:WEO(6.0.0)","IRL.PPPEX.A","OBS_VALUE","Ireland","0.803","0.797","0.794","0.792","0.794","0.775","0.756","0.753","0.753","0.744"
"IMF.RES:WEO(6.0.0)","GAB.PPPEX.A","OBS_VALUE","Gabon","280.833","266.311","271.626","274.421","273.352","262.635","244.923","262.364","235.864","230.94"
"IMF.RES:WEO(6.0.0)","FRA.PPPEX.A","OBS_VALUE","France","0.783","0.781","0.77","0.756","0.706","0.693","0.686","0.661","0.67","0.668"
"IMF.RES:WEO(6.0.0)","MDG.PPPEX.A","OBS_VALUE","Madagascar, Republic of","890.271","960.91","990.84","1079.08","1121.694","1145.666","1173.855","1171.703","1229.328","1278.373"
"IMF.RES:WEO(6.0.0)","MUS.PPPEX.A","OBS_VALUE","Mauritius","16.338","16.57","16.545","17.128","16.836","16.625","16.629","17.007","17.707","18.06"
"IMF.RES:WEO(6.0.0)","FSM.PPPEX.A","OBS_VALUE","Micronesia, Federated States of","0.985","1.013","1.074","1.146","1.091","1.037","1.009","1.048","1.075","1.092"
"IMF.RES:WEO(6.0.0)","MLI.PPPEX.A","OBS_VALUE","Mali","204.741","205.554","205.839","206.166","201.951","201.444","203.723","191.116","190.012","190.218"
"IMF.RES:WEO(6.0.0)","MLT.PPPEX.A","OBS_VALUE","Malta","0.578","0.584","0.586","0.587","0.564","0.558","0.552","0.542","0.551","0.555"
"IMF.RES:WEO(6.0.0)","KGZ.PPPEX.A","OBS_VALUE","Kyrgyz Republic","15.474","16.255","16.98","18.493","18.71","18.364","19.919","22.248","24.357","25.263"
"IMF.RES:WEO(6.0.0)","KEN.PPPEX.A","OBS_VALUE","Kenya","37.242","39.049","41.279","42.17","42.656","42.817","42.332","42.264","43.287","44.268"
"IMF.RES:WEO(6.0.0)","KWT.PPPEX.A","OBS_VALUE","Kuwait","0.18","0.166","0.189","0.188","0.19","0.186","0.203","0.225","0.201","0.199"
"IMF.RES:WEO(6.0.0)","MRT.PPPEX.A","OBS_VALUE","Mauritania, Islamic Republic of","9.823","10.821","10.799","11.322","11.557","11.633","12.035","11.165","11.141","11.341"
"IMF.RES:WEO(6.0.0)","LUX.PPPEX.A","OBS_VALUE","Luxembourg","0.863","0.845","0.848","0.849","0.829","0.838","0.82","0.808","0.807","0.822"
"IMF.RES:WEO(6.0.0)","MEX.PPPEX.A","OBS_VALUE","Mexico","8.102","8.514","8.914","9.276","9.528","9.815","9.942","9.903","9.99","10.354"
"IMF.RES:WEO(6.0.0)","MNG.PPPEX.A","OBS_VALUE","Mongolia","721.874","736.482","801.669","824.526","851.149","822.065","870.185","956.167","1123.871","1207.074"
"IMF.RES:WEO(6.0.0)","LVA.PPPEX.A","OBS_VALUE","Latvia, Republic of","0.48","0.479","0.485","0.49","0.48","0.47","0.481","0.502","0.511","0.511"
"IMF.RES:WEO(6.0.0)","MDV.PPPEX.A","OBS_VALUE","Maldives","8.212","8.152","8.181","8.028","7.825","8.471","8.211","7.909","7.833","7.761"
"IMF.RES:WEO(6.0.0)","KIR.PPPEX.A","OBS_VALUE","Kiribati","1.047","1.055","1.046","1.062","1.01","1.042","1.09","0.993","0.991","1.022"
"IMF.RES:WEO(6.0.0)","MDA.PPPEX.A","OBS_VALUE","Moldova, Republic of","5.256","5.502","5.677","5.884","5.772","5.603","5.947","6.65","6.949","7.248"
"IMF.RES:WEO(6.0.0)","LSO.PPPEX.A","OBS_VALUE","Lesotho, Kingdom of","5.337","5.302","5.441","5.886","6.087","5.908","6.194","6.086","6.19","6.387"
